"Company 
(Maker-if known)",SpecificBeanOriginorBarName,REF,"Review
Date",CocoaPercent,CompanyLocation,Rating,"Bean
Type",BroadBeanOrigin,Secondary Origin,,,
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70%,Ecuador,3, ,Ecuador,,,,
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5, ,Ecuador,,,,
Kallari (Ecuatoriana),Roberto,245,2008,75%,Ecuador,2.75, ,Ecuador,,,,
Kallari (Ecuatoriana),Diego/ original micro,248,2008,85%,Ecuador,2.5, ,Ecuador,,,,
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85%,Ecuador,2.75, ,Ecuador,,,,
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85%,Ecuador,3, ,Ecuador,,,,
Kallari (Ecuatoriana),Cacao Nacional W.F.,263,2008,75%,Ecuador,2.5, ,Ecuador,,,,
Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85%,Ecuador,3, ,Ecuador,,,,
La Pepa de Oro,Vinces,713,2011,60%,Ecuador,3.25, ,Ecuador,,,,
Montecristi,Manabi,1654,2015,70%,Ecuador,3.25, ,Ecuador,,,,
Montecristi,Manabi,1654,2015,63%,Ecuador,3.5, ,Ecuador,,,,
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5, ,Ecuador,,,,
Pacari,Garaua,1415,2014,70%,Ecuador,3.25, ,Ecuador,,,,
Pacari,Cumbia,1415,2014,70%,Ecuador,3.5, ,Ecuador,,,,
Pacari,Montubia,1415,2014,70%,Ecuador,3.75, ,Ecuador,,,,
Pacari,Tangara,1415,2014,70%,Ecuador,4, ,Ecuador,,,,
Pacari,"Ecuador, raw",817,2012,85%,Ecuador,2.75, ,Ecuador,,,,
Pacari,Nube- prototype,721,2011,70%,Ecuador,3.5, ,Ecuador,,,,
Pacari,Esmeraldas,224,2008,60%,Ecuador,2.5,Forastero (Arriba),Ecuador,,,,
Pacari,Manabi,224,2008,65%,Ecuador,2.75,Forastero (Arriba),Ecuador,,,,
Pacari,Los Rios,224,2008,72%,Ecuador,3,Forastero (Arriba),Ecuador,,,,
Pacari,Raw,266,2008,100%,Ecuador,2,Forastero (Arriba),Ecuador,,,,
Pacari,Raw,266,2008,70%,Ecuador,3.5,Forastero (Arriba),Ecuador,,,,
Republica del Cacao (aka Confecta),Esmeraldas,494,2010,75%,Ecuador,3.25, ,Ecuador,,,,
Republica del Cacao (aka Confecta),"Los Rios, Vinces",439,2009,75%,Ecuador,2.5,Forastero (Arriba),Ecuador,,,,
Republica del Cacao (aka Confecta),Manabi,147,2007,75%,Ecuador,3,Forastero (Arriba),Ecuador,,,,
Republica del Cacao (aka Confecta),El Oro,147,2007,67%,Ecuador,3.5,Forastero (Arriba),Ecuador,,,,
Republica del Cacao (aka Confecta),Los Rios,170,2007,75%,Ecuador,3.75,Forastero (Arriba),Ecuador,,,,
To'ak (Ecuatoriana),Manabi,1418,2014,81%,Ecuador,3.25,Forastero (Nacional),Ecuador,,,,
Rancho San Jacinto,Ecuador,565,2010,75%,Eucador,3,"Forastero(Arriba, CCN)",Ecuador,,,,
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,,,,
Ara,Equateur,1379,2014,75%,France,2.75, ,Ecuador,,,,
Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador,,,,
Cemoi,Equateur,404,2009,72%,France,2.75, ,Ecuador,,,,
Kaoka (Cemoi),Ecuador,423,2009,80%,France,2.75, ,Ecuador,,,,
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56%,France,3.25, ,Ecuador,,,,
Pralus,Equateur,40,2006,75%,France,3,Trinitario,Ecuador,,,,
Pralus,Fortissima,93,2006,80%,France,4,"Criollo, Trinitario",Ecuador,,,,
Valrhona,Alpaco,370,2009,66%,France,3.75, ,Ecuador,,,,
Coppeneur,"Ecuador, Puristique",1169,2013,65%,Germany,3.25,Forastero (Nacional),Ecuador,,,,
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1.5, ,Ecuador,,,,
Coppeneur,"Los Rios, H. Iara",558,2010,72%,Germany,2.5,Nacional,Ecuador,,,,
Hachez,Arriba,166,2007,77%,Germany,2.5,Forastero (Arriba),Ecuador,,,,
Szanto Tibor,Nacional,1668,2015,70%,Hungary,3.25, ,Ecuador,,,,
Szanto Tibor,"Winak, Sumaco",1704,2015,70%,Hungary,3.75,Forastero (Nacional),Ecuador,,,,
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5, ,Ecuador,,,,
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador,,,,
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5, ,Ecuador,,,,
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75, ,Ecuador,,,,
Domori,Ecuador,192,2007,70%,Italy,4,Forastero (Arriba),Ecuador,,,,
Guido Castagna,Arriba,355,2009,64%,Italy,3,Forastero (Arriba) ASS,Ecuador,,,,
Maglio,Ecuador,308,2008,70%,Italy,3,Forastero (Nacional),Ecuador,,,,
Majani,Ecuador,531,2010,70%,Italy,2, ,Ecuador,,,,
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador,,,,
Nova Monda,"Punta Galera, cacao Nacional, gold label",935,2012,80%,Nicaragua,3.25,Forastero (Nacional),Ecuador,,,,
Manufaktura Czekolady,Grand Cru Ecuador,875,2012,70%,Poland,3.25, ,Ecuador,,,,
Britarev,Ecuador,1638,2015,70%,Russia,3.25, ,Ecuador,,,,
"Chocolate Tree, The",Ecuador,919,2012,82%,Scotland,2.5,Forastero (Arriba),Ecuador,,,,
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5, ,Ecuador,,,,
Honest,"Ecuador, w/ nibs",1327,2014,72%,South Africa,2.5, ,Ecuador,,,,
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador,,,,
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador,,,,
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75, ,Ecuador,,,,
Chocovic,"Bolivar, Guaranda",117,2007,71%,Spain,2.5,Forastero (Arriba),Ecuador,,,,
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4, ,Ecuador,,,,
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador,,,,
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25, ,Ecuador,,,,
Damson,Los Rios,1610,2015,70%,U.K.,3.5, ,Ecuador,,,,
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75, ,Ecuador,,,,
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5, ,Ecuador,,,,
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3,Forastero (Nacional),Ecuador,,,,
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador,,,,
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",1113,2013,100%,U.K.,2.5,Forastero (Nacional),Ecuador,,,,
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80%,U.K.,3,Forastero (Nacional),Ecuador,,,,
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70%,U.K.,2.75, ,Ecuador,,,,
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",1872,2016,77%,U.K.,3.5, ,Ecuador,,,,
Pump Street Bakery,Guantupi River,1223,2014,75%,U.K.,3,Forastero (Nacional),Ecuador,,,,
Pump Street Bakery,Guantupi River,1227,2014,85%,U.K.,2.75,Forastero (Nacional),Ecuador,,,,
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador,,,,
Amano,Guayas,470,2010,70%,U.S.A.,4, ,Ecuador,,,,
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3.25, ,Ecuador,,,,
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador,,,,
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,,,,
Arete,Camino Verde,1602,2015,75%,U.S.A.,3.5, ,Ecuador,,,,
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero (Arriba),Ecuador,,,,
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25, ,Ecuador,,,,
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75, ,Ecuador,,,,
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75, ,Ecuador,,,,
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25, ,Ecuador,,,,
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5, ,Ecuador,,,,
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5, ,Ecuador,,,,
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5, ,Ecuador,,,,
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25, ,Ecuador,,,,
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3.5, ,Ecuador,,,,
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5, ,Ecuador,,,,
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador,,,,
Creo,"""heirloom"", Arriba Nacional",1736,2016,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador,,,,
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3.5, ,Ecuador,,,,
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3.25, ,Ecuador,,,,
Dean and Deluca (Belcolade),Ecuador,175,2007,71%,U.S.A.,3, ,Ecuador,,,,
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25, ,Ecuador,,,,
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5, ,Ecuador,,,,
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25, ,Ecuador,,,,
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4, ,Ecuador,,,,
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5, ,Ecuador,,,,
Fruition,Camino Verde,1185,2013,75%,U.S.A.,3, ,Ecuador,,,,
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5, ,Ecuador,,,,
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador,,,,
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador,,,,
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador,,,,
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador,,,,
hexx,Ecuador,1550,2015,73%,U.S.A.,3.25, ,Ecuador,,,,
K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70%,U.S.A.,3.75, ,Ecuador,,,,
Kyya,Ecuador,1363,2014,72.50%,U.S.A.,2.5, ,Ecuador,,,,
L.A. Burdick (Felchlin),Quito,682,2011,74%,U.S.A.,3.75, ,Ecuador,,,,
Mana,Ecuador,1446,2015,74%,U.S.A.,2.5, ,Ecuador,,,,
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador,,,,
Millcreek Cacao Roasters,Ecuador,1073,2013,70%,U.S.A.,2.5,Forastero (Nacional),Ecuador,,,,
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5, ,Ecuador,,,,
Mindo,Ecuador,607,2010,67%,U.S.A.,2.75, ,Ecuador,,,,
Mindo,Ecuador,607,2010,77%,U.S.A.,2.75, ,Ecuador,,,,
Night Owl,Ecuador,1022,2013,75%,U.S.A.,3.5, ,Ecuador,,,,
Noir d' Ebine,Ecuador,841,2012,70%,U.S.A.,3, ,Ecuador,,,,
Nuance,"Ecuador, 2013",1458,2015,70%,U.S.A.,2.75,Trinitario,Ecuador,,,,
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Fruity""",1319,2014,73%,U.S.A.,3.25, ,Ecuador,,,,
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral""",1319,2014,73%,U.S.A.,3.5, ,Ecuador,,,,
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",1860,2016,75%,U.S.A.,3.75, ,Ecuador,,,,
Ritual,"Camino Verde P., Balao, Guayas, 2014",1466,2015,85%,U.S.A.,3.5, ,Ecuador,,,,
Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,75%,U.S.A.,3.25,Nacional (Arriba),Ecuador,,,,
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75%,U.S.A.,3.75,Nacional (Arriba),Ecuador,,,,
Shark Mountain,Ecuador,1335,2014,75%,U.S.A.,3,Trinitario,Ecuador,,,,
Snake & Butterfly,Ecuador,502,2010,68%,U.S.A.,3.25, ,Ecuador,,,,
Sol Cacao,"Ecuador, Batch 1",1812,2016,70%,U.S.A.,3.5, ,Ecuador,,,,
Spencer,Ecuador,1932,2017,70%,U.S.A.,3.5, ,Ecuador,,,,
Starchild,"Bolivar, Arriba",1634,2015,70%,U.S.A.,3,Forastero (Nacional),Ecuador,,,,
Stone Grindz,"Ecuador, Midnight Dark",1291,2014,84%,U.S.A.,3.5, ,Ecuador,,,,
Stone Grindz,"Ecuador, Twilght Dark",1291,2014,70%,U.S.A.,3.5, ,Ecuador,,,,
Tejas,"La Bahia, w/ cane juice",817,2012,70%,U.S.A.,3.25, ,Ecuador,,,,
Tejas,"La Bahia, w/ cane sugar",825,2012,70%,U.S.A.,3.25, ,Ecuador,,,,
Terroir,Ecuador,1482,2015,70%,U.S.A.,3.25, ,Ecuador,,,,
Terroir,Ecuador,1323,2014,77%,U.S.A.,3.25, ,Ecuador,,,,
twenty-four blackbirds,"Cedeno, lot 271",1700,2015,75%,U.S.A.,3.5, ,Ecuador,,,,
Videri,Mindo,1227,2014,75%,U.S.A.,3.5, ,Ecuador,,,,
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,100%,U.S.A.,2,Forastero (Arriba),Ecuador,,,,
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,90%,U.S.A.,2,Forastero (Arriba),Ecuador,,,,
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,75%,U.S.A.,3,Forastero (Arriba),Ecuador,,,,
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",153,2007,65%,U.S.A.,3,Forastero (Arriba),Ecuador,,,,
Woodblock,"Camino Verde P., Balao, Guayas",1042,2013,70%,U.S.A.,3.25, ,Ecuador,,,,
Woodblock,Ecuador,825,2012,70%,U.S.A.,2.5, ,Ecuador,,,,
DAR,"DUO, batch 002",1920,2016,70%,U.S.A.,3.25, ,Ecuador, Costa Rica,,,
Tejas,Bayou Blend,801,2012,70%,U.S.A.,3,Blend,Ecuador, Mad., PNG,,
Mesocacao,El Salvador,1494,2015,80%,Honduras,2.75, ,El Salvador,,,,
Mesocacao,El Salvador,1494,2015,70%,Honduras,3, ,El Salvador,,,,
Cravve,"Namau Village, N. Taileva P., batch a2812",975,2012,67%,Australia,3.25,Trinitario,Fiji,,,,
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,,,,
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,,,,
Adi,Vanua Levu,705,2011,88%,Fiji,3.5,Trinitario,Fiji,,,,
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji,,,,
Pangea,Matasawalevu,1860,2016,76%,Spain,3, ,Fiji,,,,
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3.25, ,Fiji,,,,
Pitch Dark,Namau Village,1315,2014,73%,U.S.A.,2.5,Trinitario,Fiji,,,,
Bonnat,Gabon,1042,2013,75%,France,3.25, ,Gabon,,,,
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana,,,,
Soma,Africa,377,2009,70%,Canada,3.5,Forastero,Ghana,,,,
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana,,,,
Pralus,Ghana,40,2006,75%,France,3.25,Forastero,Ghana,,,,
Valrhona,Nyangbo,395,2009,68%,France,3.5,Forastero,Ghana,,,,
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana,,,,
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana,,,,
Omanhene,Ghana,693,2011,80%,Ghana,2.75,Forastero,Ghana,,,,
Guido Castagna,Ghana,355,2009,64%,Italy,3,Forastero,Ghana,,,,
Whittakers,Ghana,733,2011,72%,New Zealand,2.5,Forastero,Ghana,,,,
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana,,,,
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana,,,,
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana,,,,
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana,,,,
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana,,,,
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana,,,,
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana,,,,
Dean and Deluca (Belcolade),Ghana,175,2007,60%,U.S.A.,3,Forastero,Ghana,,,,
Fresco,"Ghana, #211, MR, MC",636,2011,74%,U.S.A.,2.75,Forastero,Ghana,,,,
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2,Trinitario,Ghana,,,,
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana,,,,
Nathan Miller,Ghana,1403,2014,70%,U.S.A.,3.5,Forastero,Ghana,,,,
Noble Bean aka Jerjobo,Ghana,1295,2014,75%,U.S.A.,3,Forastero,Ghana,,,,
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana,,,,
Olive and Sinclair,Ghana prototype,486,2010,72%,U.S.A.,3,Forastero,Ghana,,,,
Scharffen Berger,Asante,336,2009,65%,U.S.A.,4,Forastero,Ghana,,,,
Sjolinds,Ghana,1454,2015,70%,U.S.A.,2.75,Forastero,Ghana,,,,
Snake & Butterfly,Ghana,693,2011,67%,U.S.A.,1.5,Forastero,Ghana,,,,
TCHO,Chocolatey-beta,199,2008,70%,U.S.A.,2.5,Forastero,Ghana,,,,
Theo,"Ghana, Kumasi",184,2007,84%,U.S.A.,3,Forastero,Ghana,,,,
Vanleer (Barry Callebaut),Manhattan,963,2012,72%,U.S.A.,2.5,Forastero,Ghana,,,,
Vanleer (Barry Callebaut),Napa,963,2012,65%,U.S.A.,2.75,Forastero,Ghana,,,,
Wm,"Ghana, 2013, batch 129",1916,2016,75%,U.S.A.,3.75, ,Ghana,,,,
Scharffen Berger,Kumasi Sambirano,40,2006,68%,U.S.A.,2,Blend,Ghana ,& Madagascar,,,
Olive and Sinclair,Dark 67,457,2009,67%,U.S.A.,2.75, ,Ghana, Domin. Rep,,,
Olive and Sinclair,Dark 75,457,2009,75%,U.S.A.,3, ,Ghana, Domin. Rep,,,
Theo,"Ghana, Panama, Ecuador",188,2007,75%,U.S.A.,3,Blend,Ghana, Panama, Ecuador,,
Soma,"Dancing in Your Head, 5 bean blend",867,2012,70%,Canada,4,Blend,Grenada, PNG, Haw., Haiti, Mad
Callebaut,Grenade,296,2008,60%,Belgium,2.75,Trinitario,Grenada,,,,
Soma,"Grenada, Black Science",676,2011,70%,Canada,2.75,Trinitario,Grenada,,,,
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada,,,,
Coppeneur,Grenada,470,2010,72%,Germany,3.25,Trinitario,Grenada,,,,
Grenada Chocolate Co.,Grenada,494,2010,82%,Grenada,3.25,Trinitario,Grenada,,,,
Grenada Chocolate Co.,Grenada,363,2009,60%,Grenada,2.75,Trinitario,Grenada,,,,
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada,,,,
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada,,,,
Naive,Grenada,867,2012,71%,Lithuania,2.5,Trinitario,Grenada,,,,
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada,,,,
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada,,,,
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada,,,,
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70%,U.K.,2.25, ,Grenada,,,,
Dormouse,Non Pariel Estate,1880,2016,75%,U.K.,2.75,Trinitario,Grenada,,,,
Pump Street Bakery,"Crayfish Bay Estate, 2014",1502,2015,70%,U.K.,3.5,Trinitario,Grenada,,,,
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada,,,,
Seaforth,Grenada,1658,2015,70%,U.K.,2.75, ,Grenada,,,,
L.A. Burdick (Felchlin),Grenada,576,2010,75%,U.S.A.,3.25,Trinitario,Grenada,,,,
Scharffen Berger,Camahogne,464,2010,68%,U.S.A.,3.5,Trinitario,Grenada,,,,
Soma,Crazy 88,1077,2013,88%,Canada,4, ,Guat., D.R., Peru, Mad., PNG
"Smooth Chocolator, The","Chimelb, Lanquin, Alta Verapaz, b-GUA001",1908,2016,70%,Australia,3.25, ,Guatemala,,,,
Palette de Bine,Lachua,1720,2016,70%,Canada,2.75, ,Guatemala,,,,
Sirene,Lachua w/ cane sugar,1614,2015,73%,Canada,3, ,Guatemala,,,,
Sirene,"Lachua w/ maple sugar, batch 5",1614,2015,73%,Canada,3.25, ,Guatemala,,,,
Soma,Cahabon Region,951,2012,70%,Canada,3.5,Trinitario,Guatemala,,,,
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5, ,Guatemala,,,,
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3.25, ,Guatemala,,,,
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75, ,Guatemala,,,,
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala,,,,
Danta,"Oscuro, Finca Chimelb",991,2012,70%,Guatemala,3.25, ,Guatemala,,,,
Danta,Los Ujuxtes,661,2011,60%,Guatemala,3.5, ,Guatemala,,,,
Danta,Las Acacias E.,423,2009,75%,Guatemala,3,Criollo,Guatemala,,,,
Danta,Las Acacias E.,423,2009,60%,Guatemala,3.25,Criollo,Guatemala,,,,
Rain Republic,Suchitepequez E.,470,2010,70%,Guatemala,2.75, ,Guatemala,,,,
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4,Criollo,Guatemala,,,,
Arete,Lachua,1904,2016,70%,U.S.A.,3.5, ,Guatemala,,,,
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala,,,,
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75, ,Guatemala,,,,
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5, ,Guatemala,,,,
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5, ,Guatemala,,,,
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75, ,Guatemala,,,,
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5, ,Guatemala,,,,
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25, ,Guatemala,,,,
Mast Brothers,Guatemala,1450,2015,76%,U.S.A.,3, ,Guatemala,,,,
Parliament,"Lachua, Q'egchi families",1542,2015,70%,U.S.A.,3.5, ,Guatemala,,,,
Starchild,Cacao Verapaz,1692,2015,70%,U.S.A.,3, ,Guatemala,,,,
Terroir,Guatemala,1558,2015,70%,U.S.A.,3.75,Trinitario,Guatemala,,,,
Violet Sky,Cahabon,1502,2015,77%,U.S.A.,2.75,Trinitario,Guatemala,,,,
Martin Mayer,Pisa,1836,2016,82%,Austria,3, ,Haiti,,,,
Sirene,Pisa,1650,2015,73%,Canada,3.25, ,Haiti,,,,
Soma,Noula Coop,817,2012,70%,Canada,3.25, ,Haiti,,,,
Bonnat,Haiti,629,2011,75%,France,4, ,Haiti,,,,
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti,,,,
Minimal,"Acul-du-Nord, 2015",1920,2016,70%,Japan,3.5,"Criollo, Trinitario",Haiti,,,,
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4, ,Haiti,,,,
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75, ,Haiti,,,,
K'ul,"Kafupbo, Petit Bourg, De Borgnes",1840,2016,70%,U.S.A.,3.25, ,Haiti,,,,
Habitual,Sharkey,1201,2014,66%,Canada,3.25, ,Hawaii,,,,
Soma,O'ahu,833,2012,70%,Canada,3.75, ,Hawaii,,,,
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75, ,Hawaii,,,,
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii,,,,
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55%,U.S.A.,3, ,Hawaii,,,,
Heirloom Cacao Preservation (Guittard),"Maunawili, O'ahu, Agri Research C., 2014",1243,2014,67%,U.S.A.,3.75, ,Hawaii,,,,
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5, ,Hawaii,,,,
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75, ,Hawaii,,,,
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,65%,U.S.A.,3.25, ,Hawaii,,,,
Lonohana,"Haleiwa E, O'ahu, 2014",1395,2014,75%,U.S.A.,3.75, ,Hawaii,,,,
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71%,U.S.A.,3, ,Hawaii,,,,
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72%,U.S.A.,3, ,Hawaii,,,,
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70%,U.S.A.,3.5, ,Hawaii,,,,
Madre,"Choobua, Kona",1089,2013,70%,U.S.A.,2.75, ,Hawaii,,,,
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25, ,Hawaii,,,,
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii,,,,
Madre,Kaua'i,995,2012,70%,U.S.A.,3.5, ,Hawaii,,,,
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5, ,Hawaii,,,,
